"DateTime","Players","Average Players"
"2023-10-17 00:00:00",1533,1043
"2023-10-18 00:00:00",5429,3224
"2023-10-19 00:00:00",7154,4465
"2023-10-20 00:00:00",8305,5153
"2023-10-21 00:00:00",10231,6915
"2023-10-22 00:00:00",12266,8187
"2023-10-23 00:00:00",10789,6654
"2023-10-24 00:00:00",11204,6769
"2023-10-25 00:00:00",10915,6546
"2023-10-26 00:00:00",11161,6659
"2023-10-27 00:00:00",11094,6567
"2023-10-28 00:00:00",12950,8394
"2023-10-29 00:00:00",13617,9092
"2023-10-30 00:00:00",11636,7091
"2023-10-31 00:00:00",11613,6846
"2023-11-01 00:00:00",11708,7011
"2023-11-02 00:00:00",11159,6817
"2023-11-03 00:00:00",10927,6754
"2023-11-04 00:00:00",12657,8097
"2023-11-05 00:00:00",12502,8330
"2023-11-06 00:00:00",10494,6377
"2023-11-07 00:00:00",9760,5858
"2023-11-08 00:00:00",9134,5604
"2023-11-09 00:00:00",9292,5553
"2023-11-10 00:00:00",9353,5720
"2023-11-11 00:00:00",10785,6806
"2023-11-12 00:00:00",10621,6945
"2023-11-13 00:00:00",8454,5184
"2023-11-14 00:00:00",7942,4952
"2023-11-15 00:00:00",8065,4682
"2023-11-16 00:00:00",7833,4480
"2023-11-17 00:00:00",7424,4455
"2023-11-18 00:00:00",9106,5769
"2023-11-19 00:00:00",8842,5856
"2023-11-20 00:00:00",7211,4487
"2023-11-21 00:00:00",7163,4771
"2023-11-22 00:00:00",18315,11707
"2023-11-23 00:00:00",23037,15864
"2023-11-24 00:00:00",23762,16745
"2023-11-25 00:00:00",28836,20522
"2023-11-26 00:00:00",28793,20598
"2023-11-27 00:00:00",22442,15267
"2023-11-28 00:00:00",22791,14205
"2023-11-29 00:00:00",18025,11670
"2023-11-30 00:00:00",17456,11068
"2023-12-01 00:00:00",17379,10908
"2023-12-02 00:00:00",19743,13342
"2023-12-03 00:00:00",19436,13463
"2023-12-04 00:00:00",15670,9982
"2023-12-05 00:00:00",15592,9497
"2023-12-06 00:00:00",15148,9301
"2023-12-07 00:00:00",15848,9944
