"DateTime","Players","Average Players"
"2019-04-30 00:00:00",787,
"2019-05-01 00:00:00",1410,
"2019-05-02 00:00:00",1237,
"2019-05-03 00:00:00",1248,
"2019-05-04 00:00:00",1571,
"2019-05-05 00:00:00",1477,
"2019-05-06 00:00:00",1078,
"2019-05-07 00:00:00",960,
"2019-05-08 00:00:00",798,
"2019-05-09 00:00:00",906,
"2019-05-10 00:00:00",688,
"2019-05-11 00:00:00",666,
"2019-05-12 00:00:00",608,
"2019-05-13 00:00:00",421,
"2019-05-14 00:00:00",365,
"2019-05-15 00:00:00",326,
"2019-05-16 00:00:00",301,
"2019-05-17 00:00:00",234,
"2019-05-18 00:00:00",285,
"2019-05-19 00:00:00",267,
"2019-05-20 00:00:00",187,
"2019-05-21 00:00:00",158,
"2019-05-22 00:00:00",137,
"2019-05-23 00:00:00",146,
"2019-05-24 00:00:00",142,
"2019-05-25 00:00:00",164,
"2019-05-26 00:00:00",146,
"2019-05-27 00:00:00",126,
"2019-05-28 00:00:00",121,
"2019-05-29 00:00:00",97,
"2019-05-30 00:00:00",96,
"2019-05-31 00:00:00",86,
"2019-06-01 00:00:00",97,
"2019-06-02 00:00:00",111,
"2019-06-03 00:00:00",78,
"2019-06-04 00:00:00",79,
"2019-06-05 00:00:00",58,
"2019-06-06 00:00:00",58,
"2019-06-07 00:00:00",47,
"2019-06-08 00:00:00",46,
"2019-06-09 00:00:00",51,
"2019-06-10 00:00:00",40,
"2019-06-11 00:00:00",32,
"2019-06-12 00:00:00",33,
"2019-06-13 00:00:00",36,
"2019-06-14 00:00:00",50,
"2019-06-15 00:00:00",71,
"2019-06-16 00:00:00",80,
"2019-06-17 00:00:00",62,
"2019-06-18 00:00:00",49,
"2019-06-19 00:00:00",48,
"2019-06-20 00:00:00",60,
"2019-06-21 00:00:00",58,
"2019-06-22 00:00:00",61,
"2019-06-23 00:00:00",69,
"2019-06-24 00:00:00",53,
"2019-06-25 00:00:00",43,
"2019-06-26 00:00:00",37,
"2019-06-27 00:00:00",37,
"2019-06-28 00:00:00",43,
"2019-06-29 00:00:00",49,
"2019-06-30 00:00:00",52,
"2019-07-01 00:00:00",43,
"2019-07-02 00:00:00",45,
"2019-07-03 00:00:00",39,
"2019-07-04 00:00:00",46,
"2019-07-05 00:00:00",36,
"2019-07-06 00:00:00",39,
"2019-07-07 00:00:00",68,
"2019-07-08 00:00:00",48,
"2019-07-09 00:00:00",49,
"2019-07-10 00:00:00",34,
"2019-07-11 00:00:00",41,
"2019-07-12 00:00:00",30,
"2019-07-13 00:00:00",47,
"2019-07-14 00:00:00",46,
"2019-07-15 00:00:00",31,
"2019-07-16 00:00:00",33,
"2019-07-17 00:00:00",34,
"2019-07-18 00:00:00",30,
"2019-07-19 00:00:00",41,
"2019-07-20 00:00:00",49,
"2019-07-21 00:00:00",51,
"2019-07-22 00:00:00",38,
"2019-07-23 00:00:00",35,
"2019-07-24 00:00:00",33,
"2019-07-25 00:00:00",36,
"2019-07-26 00:00:00",31,
"2019-07-27 00:00:00",36,
"2019-07-28 00:00:00",40,
"2019-07-29 00:00:00",27,
"2019-07-30 00:00:00",29,
"2019-07-31 00:00:00",26,
"2019-08-01 00:00:00",34,
"2019-08-02 00:00:00",35,
"2019-08-03 00:00:00",42,
"2019-08-04 00:00:00",38,
"2019-08-05 00:00:00",31,
"2019-08-06 00:00:00",43,
"2019-08-07 00:00:00",38,
"2019-08-08 00:00:00",37,
"2019-08-09 00:00:00",129,
"2019-08-10 00:00:00",144,
"2019-08-11 00:00:00",164,
